obs,month,name,value
3,Mar-20,Leisure and Hospitality,0.951255539
4,Apr-20,Leisure and Hospitality,0.888888889
5,May-20,Leisure and Hospitality,0.373376623
6,Jun-20,Leisure and Hospitality,0.4345
7,Jul-20,Leisure and Hospitality,0.605805959
8,Aug-20,Leisure and Hospitality,0.769628099
9,Sep-20,Leisure and Hospitality,0.744053283
10,Oct-20,Leisure and Hospitality,0.734497817
11,Nov-20,Leisure and Hospitality,0.783410138
12,Dec-20,Leisure and Hospitality,0.928571429
13,Jan-21,Leisure and Hospitality,0.782128514
14,Feb-21,Leisure and Hospitality,0.861135371
15,Mar-21,Leisure and Hospitality,0.969378828
16,Apr-21,Leisure and Hospitality,0.980408163
17,May-21,Leisure and Hospitality,1.086956522
18,Jun-21,Leisure and Hospitality,1.2143446
19,Jul-21,Leisure and Hospitality,1.29089444
20,Aug-21,Leisure and Hospitality,1.392220421
21,Sep-21,Leisure and Hospitality,1.29352397
22,Oct-21,Leisure and Hospitality,1.384223919
23,Nov-21,Leisure and Hospitality,1.370065789
24,Dec-21,Leisure and Hospitality,1.669463087
1,Jan-20,Manufacturing,1.26625387
2,Feb-20,Manufacturing,1.106442577
3,Mar-20,Manufacturing,0.977917981
4,Apr-20,Manufacturing,0.844444444
5,May-20,Manufacturing,0.497645212
6,Jun-20,Manufacturing,0.709543568
7,Jul-20,Manufacturing,1.2
8,Aug-20,Manufacturing,1.187341772
9,Sep-20,Manufacturing,1.255936675
10,Oct-20,Manufacturing,1.366925065
11,Nov-20,Manufacturing,1.17603912
12,Dec-20,Manufacturing,1.054176072
13,Jan-21,Manufacturing,1.478753541
14,Feb-21,Manufacturing,1.377088305
15,Mar-21,Manufacturing,1.672605791
16,Apr-21,Manufacturing,2.195431472
17,May-21,Manufacturing,2.153284672
18,Jun-21,Manufacturing,2.020361991
19,Jul-21,Manufacturing,2.010660981
20,Aug-21,Manufacturing,1.885529158
21,Sep-21,Manufacturing,2.00212766
22,Oct-21,Manufacturing,1.918918919
23,Nov-21,Manufacturing,1.733333333
24,Dec-21,Manufacturing,1.63238512
1,Jan-20,Mining and Logging,1.125
2,Feb-20,Mining and Logging,1.090909091
3,Mar-20,Mining and Logging,0.722222222
4,Apr-20,Mining and Logging,0.769230769
5,May-20,Mining and Logging,0.625
6,Jun-20,Mining and Logging,1.777777778
7,Jul-20,Mining and Logging,0.526315789
8,Aug-20,Mining and Logging,0.714285714
9,Sep-20,Mining and Logging,0.666666667
10,Oct-20,Mining and Logging,1.066666667
11,Nov-20,Mining and Logging,0.75
12,Dec-20,Mining and Logging,0.85
13,Jan-21,Mining and Logging,1.428571429
14,Feb-21,Mining and Logging,1.25
15,Mar-21,Mining and Logging,1.041666667
16,Apr-21,Mining and Logging,1.1
17,May-21,Mining and Logging,1.227272727
18,Jun-21,Mining and Logging,1.136363636
19,Jul-21,Mining and Logging,1.7
20,Aug-21,Mining and Logging,1.571428571
21,Sep-21,Mining and Logging,1.8125
22,Oct-21,Mining and Logging,1.380952381
23,Nov-21,Mining and Logging,1.842105263
24,Dec-21,Mining and Logging,1.7
1,Jan-20,Other Services,1.155172414
2,Feb-20,Other Services,0.907079646
3,Mar-20,Other Services,1.034246575
4,Apr-20,Other Services,0.906040268
5,May-20,Other Services,0.30318258
6,Jun-20,Other Services,0.687664042
7,Jul-20,Other Services,1.373737374
8,Aug-20,Other Services,1.0456621
9,Sep-20,Other Services,0.971544715
10,Oct-20,Other Services,1.004166667
11,Nov-20,Other Services,1.033175355
12,Dec-20,Other Services,1.153409091
13,Jan-21,Other Services,1.135514019
14,Feb-21,Other Services,1.151639344
15,Mar-21,Other Services,1.100456621
16,Apr-21,Other Services,1.553648069
17,May-21,Other Services,2.108597285
18,Jun-21,Other Services,1.619834711
19,Jul-21,Other Services,1.76171875
20,Aug-21,Other Services,1.99543379
21,Sep-21,Other Services,1.742307692
22,Oct-21,Other Services,1.927350427
23,Nov-21,Other Services,1.660305344
24,Dec-21,Other Services,1.4140625
1,Jan-20,Professional and Business Services,1.098106713
2,Feb-20,Professional and Business Services,1.154537287
3,Mar-20,Professional and Business Services,0.965638767
4,Apr-20,Professional and Business Services,0.979118329
5,May-20,Professional and Business Services,0.914744233
6,Jun-20,Professional and Business Services,0.869118905
7,Jul-20,Professional and Business Services,1.025022341
8,Aug-20,Professional and Business Services,0.993960311
9,Sep-20,Professional and Business Services,1.086236934
10,Oct-20,Professional and Business Services,1.127845884
11,Nov-20,Professional and Business Services,1.113934426
12,Dec-20,Professional and Business Services,1.291772689
13,Jan-21,Professional and Business Services,1.226351351
14,Feb-21,Professional and Business Services,1.2200489
15,Mar-21,Professional and Business Services,1.308072488
16,Apr-21,Professional and Business Services,1.437229437
17,May-21,Professional and Business Services,1.493955095
18,Jun-21,Professional and Business Services,1.462171053
19,Jul-21,Professional and Business Services,1.460377358
20,Aug-21,Professional and Business Services,1.571428571
21,Sep-21,Professional and Business Services,1.453968254
22,Oct-21,Professional and Business Services,1.559541985
23,Nov-21,Professional and Business Services,1.47027027
24,Dec-21,Professional and Business Services,1.667491749
1,Jan-20,"Trade, Transportation, and Utilities",1.003257329
2,Feb-20,"Trade, Transportation, and Utilities",0.950558214
3,Mar-20,"Trade, Transportation, and Utilities",0.945762712
4,Apr-20,"Trade, Transportation, and Utilities",0.806890299
5,May-20,"Trade, Transportation, and Utilities",0.651769088
6,Jun-20,"Trade, Transportation, and Utilities",0.770965469
7,Jul-20,"Trade, Transportation, and Utilities",0.981161695
8,Aug-20,"Trade, Transportation, and Utilities",0.950120676
9,Sep-20,"Trade, Transportation, and Utilities",0.894819466
10,Oct-20,"Trade, Transportation, and Utilities",0.888971684
11,Nov-20,"Trade, Transportation, and Utilities",1.020729685
12,Dec-20,"Trade, Transportation, and Utilities",1.033653846
13,Jan-21,"Trade, Transportation, and Utilities",1.100398406
14,Feb-21,"Trade, Transportation, and Utilities",1.19658814
15,Mar-21,"Trade, Transportation, and Utilities",1.312598425
16,Apr-21,"Trade, Transportation, and Utilities",1.35446906
17,May-21,"Trade, Transportation, and Utilities",1.297692308
18,Jun-21,"Trade, Transportation, and Utilities",1.285714286
19,Jul-21,"Trade, Transportation, and Utilities",1.406226835
20,Aug-21,"Trade, Transportation, and Utilities",1.460202605
21,Sep-21,"Trade, Transportation, and Utilities",1.419213974
22,Oct-21,"Trade, Transportation, and Utilities",1.453471196
23,Nov-21,"Trade, Transportation, and Utilities",1.36059744
24,Dec-21,"Trade, Transportation, and Utilities",1.410312273
