obs,month,name,value
38,Feb-15,Manufacturing,1.174904943
39,Mar-15,Manufacturing,1.205992509
40,Apr-15,Manufacturing,1.237547893
41,May-15,Manufacturing,1.260700389
42,Jun-15,Manufacturing,1.085820896
43,Jul-15,Manufacturing,1.263157895
44,Aug-15,Manufacturing,1.145985401
45,Sep-15,Manufacturing,1.082474227
46,Oct-15,Manufacturing,1.109540636
47,Nov-15,Manufacturing,1.099630996
48,Dec-15,Manufacturing,1.237037037
49,Jan-16,Manufacturing,1.142348754
50,Feb-16,Manufacturing,1.128472222
51,Mar-16,Manufacturing,1.302325581
52,Apr-16,Manufacturing,1.392086331
53,May-16,Manufacturing,1.307407407
54,Jun-16,Manufacturing,1.291814947
55,Jul-16,Manufacturing,1.228571429
56,Aug-16,Manufacturing,1.239543726
57,Sep-16,Manufacturing,1.156028369
58,Oct-16,Manufacturing,1.045454545
59,Nov-16,Manufacturing,1.202090592
60,Dec-16,Manufacturing,1.221854305
61,Jan-17,Manufacturing,1.200647249
62,Feb-17,Manufacturing,1.250847458
63,Mar-17,Manufacturing,1.223602484
64,Apr-17,Manufacturing,1.169278997
65,May-17,Manufacturing,1.029673591
66,Jun-17,Manufacturing,1.166666667
67,Jul-17,Manufacturing,1.124242424
68,Aug-17,Manufacturing,1.138211382
69,Sep-17,Manufacturing,1.319148936
70,Oct-17,Manufacturing,1.221902017
71,Nov-17,Manufacturing,1.268221574
72,Dec-17,Manufacturing,1.137640449
73,Jan-18,Manufacturing,1.212121212
74,Feb-18,Manufacturing,1.196765499
75,Mar-18,Manufacturing,1.170868347
76,Apr-18,Manufacturing,1.218232044
77,May-18,Manufacturing,1.245283019
78,Jun-18,Manufacturing,1.246612466
79,Jul-18,Manufacturing,1.194805195
80,Aug-18,Manufacturing,1.352303523
81,Sep-18,Manufacturing,1.429429429
82,Oct-18,Manufacturing,1.263291139
83,Nov-18,Manufacturing,1.420765027
84,Dec-18,Manufacturing,1.346820809
85,Jan-19,Manufacturing,1.221590909
86,Feb-19,Manufacturing,1.380952381
87,Mar-19,Manufacturing,1.266081871
88,Apr-19,Manufacturing,1.305084746
89,May-19,Manufacturing,1.393491124
90,Jun-19,Manufacturing,1.437308869
91,Jul-19,Manufacturing,1.361445783
92,Aug-19,Manufacturing,1.303571429
93,Sep-19,Manufacturing,1.277777778
94,Oct-19,Manufacturing,1.306930693
95,Nov-19,Manufacturing,1.162011173
96,Dec-19,Manufacturing,1.100591716
97,Jan-20,Manufacturing,1.26625387
98,Feb-20,Manufacturing,1.106442577
99,Mar-20,Manufacturing,0.977917981
100,Apr-20,Manufacturing,0.844444444
101,May-20,Manufacturing,0.497645212
102,Jun-20,Manufacturing,0.709543568
103,Jul-20,Manufacturing,1.2
104,Aug-20,Manufacturing,1.187341772
105,Sep-20,Manufacturing,1.255936675
106,Oct-20,Manufacturing,1.366925065
107,Nov-20,Manufacturing,1.17603912
108,Dec-20,Manufacturing,1.054176072
109,Jan-21,Manufacturing,1.478753541
110,Feb-21,Manufacturing,1.377088305
111,Mar-21,Manufacturing,1.672605791
112,Apr-21,Manufacturing,2.195431472
113,May-21,Manufacturing,2.153284672
114,Jun-21,Manufacturing,2.020361991
115,Jul-21,Manufacturing,2.010660981
116,Aug-21,Manufacturing,1.885529158
117,Sep-21,Manufacturing,2.00212766
118,Oct-21,Manufacturing,1.918918919
119,Nov-21,Manufacturing,1.733333333
120,Dec-21,Manufacturing,1.63238512
1,Jan-12,Construction,0.268072289
2,Feb-12,Construction,0.197101449
3,Mar-12,Construction,0.288888889
4,Apr-12,Construction,0.405017921
5,May-12,Construction,0.283950617
6,Jun-12,Construction,0.174157303
7,Jul-12,Construction,0.237837838
8,Aug-12,Construction,0.347181009
9,Sep-12,Construction,0.259562842
10,Oct-12,Construction,0.332288401
11,Nov-12,Construction,0.25
12,Dec-12,Construction,0.403125
13,Jan-13,Construction,0.356083086
14,Feb-13,Construction,0.362433862
15,Mar-13,Construction,0.326760563
16,Apr-13,Construction,0.384353741
17,May-13,Construction,0.353982301
18,Jun-13,Construction,0.385294118
19,Jul-13,Construction,0.338762215
20,Aug-13,Construction,0.369636964
21,Sep-13,Construction,0.401253918
22,Oct-13,Construction,0.36827957
23,Nov-13,Construction,0.501607717
24,Dec-13,Construction,0.440740741
25,Jan-14,Construction,0.543859649
26,Feb-14,Construction,0.492907801
27,Mar-14,Construction,0.462962963
28,Apr-14,Construction,0.387959866
29,May-14,Construction,0.373040752
30,Jun-14,Construction,0.545774648
31,Jul-14,Construction,0.446107784
32,Aug-14,Construction,0.373529412
33,Sep-14,Construction,0.391891892
34,Oct-14,Construction,0.454268293
35,Nov-14,Construction,0.431677019
36,Dec-14,Construction,0.348370927
37,Jan-15,Construction,0.417613636
38,Feb-15,Construction,0.511976048
39,Mar-15,Construction,0.518867925
40,Apr-15,Construction,0.439306358
41,May-15,Construction,0.508038585
42,Jun-15,Construction,0.423976608
43,Jul-15,Construction,0.478827362
44,Aug-15,Construction,0.44
45,Sep-15,Construction,0.364179104
46,Oct-15,Construction,0.408408408
47,Nov-15,Construction,0.353448276
48,Dec-15,Construction,0.471641791
49,Jan-16,Construction,0.563333333
50,Feb-16,Construction,0.542134831
51,Mar-16,Construction,0.572222222
52,Apr-16,Construction,0.5
53,May-16,Construction,0.553459119
54,Jun-16,Construction,0.674242424
55,Jul-16,Construction,0.598290598
56,Aug-16,Construction,0.547058824
57,Sep-16,Construction,0.82278481
58,Oct-16,Construction,0.623931624
59,Nov-16,Construction,0.591304348
60,Dec-16,Construction,0.458646617
61,Jan-17,Construction,0.4025
62,Feb-17,Construction,0.5
63,Mar-17,Construction,0.447570332
64,Apr-17,Construction,0.540469974
65,May-17,Construction,0.43877551
66,Jun-17,Construction,0.535620053
67,Jul-17,Construction,0.564516129
68,Aug-17,Construction,0.528205128
69,Sep-17,Construction,0.486215539
70,Oct-17,Construction,0.519083969
71,Nov-17,Construction,0.669421488
72,Dec-17,Construction,0.725
73,Jan-18,Construction,0.724431818
74,Feb-18,Construction,0.504761905
75,Mar-18,Construction,0.601078167
76,Apr-18,Construction,0.657303371
77,May-18,Construction,0.666666667
78,Jun-18,Construction,0.812834225
79,Jul-18,Construction,0.710997442
80,Aug-18,Construction,0.759162304
81,Sep-18,Construction,0.814516129
82,Oct-18,Construction,0.787965616
83,Nov-18,Construction,0.762025316
84,Dec-18,Construction,0.915343915
85,Jan-19,Construction,0.705479452
86,Feb-19,Construction,0.75
87,Mar-19,Construction,0.938172043
88,Apr-19,Construction,0.978823529
89,May-19,Construction,0.945169713
90,Jun-19,Construction,0.715962441
91,Jul-19,Construction,0.844736842
92,Aug-19,Construction,0.794621027
93,Sep-19,Construction,0.753393665
94,Oct-19,Construction,0.666666667
95,Nov-19,Construction,0.569739953
96,Dec-19,Construction,0.578947368
97,Jan-20,Construction,0.70263789
98,Feb-20,Construction,0.751861042
99,Mar-20,Construction,0.576441103
100,Apr-20,Construction,0.99047619
101,May-20,Construction,0.387895461
102,Jun-20,Construction,0.4609375
103,Jul-20,Construction,0.75826972
104,Aug-20,Construction,0.62628866
105,Sep-20,Construction,0.596401028
106,Oct-20,Construction,0.639896373
107,Nov-20,Construction,0.689655172
108,Dec-20,Construction,0.655256724
109,Jan-21,Construction,0.851851852
110,Feb-21,Construction,0.672774869
111,Mar-21,Construction,0.756756757
112,Apr-21,Construction,0.98502994
113,May-21,Construction,1.003257329
114,Jun-21,Construction,0.919770774
115,Jul-21,Construction,0.923287671
116,Aug-21,Construction,0.97574124
117,Sep-21,Construction,1.005780347
118,Oct-21,Construction,1.082872928
119,Nov-21,Construction,0.855140187
120,Dec-21,Construction,0.994459834
