month,name,value
Nov-14,Leisure and Hospitality,0.693406593
Dec-14,Leisure and Hospitality,0.75534188
Jan-15,Leisure and Hospitality,0.882288229
Feb-15,Leisure and Hospitality,0.809061489
Mar-15,Leisure and Hospitality,0.782372144
Apr-15,Leisure and Hospitality,0.755508919
May-15,Leisure and Hospitality,0.727743271
Jun-15,Leisure and Hospitality,0.725490196
Jul-15,Leisure and Hospitality,0.796858639
Aug-15,Leisure and Hospitality,0.684055118
Sep-15,Leisure and Hospitality,0.693897638
Oct-15,Leisure and Hospitality,0.774925962
Nov-15,Leisure and Hospitality,0.743914314
Dec-15,Leisure and Hospitality,0.714832536
Jan-16,Leisure and Hospitality,0.794764398
Feb-16,Leisure and Hospitality,0.721904762
Mar-16,Leisure and Hospitality,0.802133851
Apr-16,Leisure and Hospitality,0.757696127
May-16,Leisure and Hospitality,0.717874396
Jun-16,Leisure and Hospitality,0.760536398
Jul-16,Leisure and Hospitality,0.732817038
Aug-16,Leisure and Hospitality,0.769894535
Sep-16,Leisure and Hospitality,0.765803109
Oct-16,Leisure and Hospitality,0.781089414
Nov-16,Leisure and Hospitality,0.719661336
Dec-16,Leisure and Hospitality,0.734052993
Jan-17,Leisure and Hospitality,0.701550388
Feb-17,Leisure and Hospitality,0.885601578
Mar-17,Leisure and Hospitality,0.739387957
Apr-17,Leisure and Hospitality,0.825661117
May-17,Leisure and Hospitality,0.835480674
Jun-17,Leisure and Hospitality,0.823529412
Jul-17,Leisure and Hospitality,0.849112426
Aug-17,Leisure and Hospitality,0.896449704
Sep-17,Leisure and Hospitality,0.782178218
Oct-17,Leisure and Hospitality,0.778864971
Nov-17,Leisure and Hospitality,0.852283771
Dec-17,Leisure and Hospitality,0.890231621
Jan-18,Leisure and Hospitality,0.912228797
Feb-18,Leisure and Hospitality,0.871455577
Mar-18,Leisure and Hospitality,0.886015326
Apr-18,Leisure and Hospitality,0.906755471
May-18,Leisure and Hospitality,0.865886589
Jun-18,Leisure and Hospitality,1.028846154
Jul-18,Leisure and Hospitality,0.924408015
Aug-18,Leisure and Hospitality,0.954545455
Sep-18,Leisure and Hospitality,1.014312977
Oct-18,Leisure and Hospitality,0.917944094
Nov-18,Leisure and Hospitality,0.945996276
Dec-18,Leisure and Hospitality,1.054807692
Jan-19,Leisure and Hospitality,1
Feb-19,Leisure and Hospitality,0.924908425
Mar-19,Leisure and Hospitality,0.925250684
Apr-19,Leisure and Hospitality,0.867126833
May-19,Leisure and Hospitality,0.944962687
Jun-19,Leisure and Hospitality,0.832007073
Jul-19,Leisure and Hospitality,0.84676705
Aug-19,Leisure and Hospitality,0.839473684
Sep-19,Leisure and Hospitality,0.881282496
Oct-19,Leisure and Hospitality,0.891071429
Nov-19,Leisure and Hospitality,0.897506925
Dec-19,Leisure and Hospitality,0.81826087
Jan-20,Leisure and Hospitality,0.83245614
Feb-20,Leisure and Hospitality,0.868940754
Mar-20,Leisure and Hospitality,0.951255539
Apr-20,Leisure and Hospitality,0.888888889
May-20,Leisure and Hospitality,0.373376623
Jun-20,Leisure and Hospitality,0.4345
Jul-20,Leisure and Hospitality,0.605805959
Aug-20,Leisure and Hospitality,0.769628099
Sep-20,Leisure and Hospitality,0.744053283
Oct-20,Leisure and Hospitality,0.734497817
Nov-20,Leisure and Hospitality,0.783410138
Dec-20,Leisure and Hospitality,0.928571429
Jan-21,Leisure and Hospitality,0.782128514
Feb-21,Leisure and Hospitality,0.861135371
Mar-21,Leisure and Hospitality,0.969378828
Apr-21,Leisure and Hospitality,0.980408163
May-21,Leisure and Hospitality,1.086956522
Jun-21,Leisure and Hospitality,1.2143446
Jul-21,Leisure and Hospitality,1.29089444
Aug-21,Leisure and Hospitality,1.392220421
Sep-21,Leisure and Hospitality,1.29352397
Oct-21,Leisure and Hospitality,1.384223919
Nov-21,Leisure and Hospitality,1.370065789
Dec-21,Leisure and Hospitality,1.669463087
Jan-12,Education and Health Services,1.26443203
Feb-12,Education and Health Services,1.207446809
Mar-12,Education and Health Services,1.3125
Apr-12,Education and Health Services,1.376518219
May-12,Education and Health Services,1.316363636
Jun-12,Education and Health Services,1.454198473
Jul-12,Education and Health Services,1.322330097
Aug-12,Education and Health Services,1.287937743
Sep-12,Education and Health Services,1.413385827
Oct-12,Education and Health Services,1.348659004
Nov-12,Education and Health Services,1.435546875
Dec-12,Education and Health Services,1.338345865
Jan-13,Education and Health Services,1.162962963
Feb-13,Education and Health Services,1.330769231
Mar-13,Education and Health Services,1.303473492
Apr-13,Education and Health Services,1.253940455
May-13,Education and Health Services,1.182758621
Jun-13,Education and Health Services,1.427974948
Jul-13,Education and Health Services,1.162454874
Aug-13,Education and Health Services,1.280612245
Sep-13,Education and Health Services,1.21981982
Oct-13,Education and Health Services,1.323643411
Nov-13,Education and Health Services,1.230483271
Dec-13,Education and Health Services,1.121597096
Jan-14,Education and Health Services,1.252220249
Feb-14,Education and Health Services,1.354898336
Mar-14,Education and Health Services,1.301886792
Apr-14,Education and Health Services,1.246551724
May-14,Education and Health Services,1.490875912
Jun-14,Education and Health Services,1.540834846
Jul-14,Education and Health Services,1.488013699
Aug-14,Education and Health Services,1.805825243
Sep-14,Education and Health Services,1.326836582
Oct-14,Education and Health Services,1.485
Nov-14,Education and Health Services,1.386481802
Dec-14,Education and Health Services,1.56053068
Jan-15,Education and Health Services,1.527454243
Feb-15,Education and Health Services,1.4784689
Mar-15,Education and Health Services,1.491776316
Apr-15,Education and Health Services,1.656765677
May-15,Education and Health Services,1.616393443
Jun-15,Education and Health Services,1.691919192
Jul-15,Education and Health Services,1.858730159
Aug-15,Education and Health Services,1.685575365
Sep-15,Education and Health Services,1.669767442
Oct-15,Education and Health Services,1.627836611
Nov-15,Education and Health Services,1.655639098
Dec-15,Education and Health Services,1.638461538
Jan-16,Education and Health Services,2.008517888
Feb-16,Education and Health Services,1.569230769
Mar-16,Education and Health Services,1.740322581
Apr-16,Education and Health Services,1.753968254
May-16,Education and Health Services,1.707620529
Jun-16,Education and Health Services,1.597014925
Jul-16,Education and Health Services,1.749608764
Aug-16,Education and Health Services,1.601823708
Sep-16,Education and Health Services,1.694656489
Oct-16,Education and Health Services,1.943485086
Nov-16,Education and Health Services,1.821917808
Dec-16,Education and Health Services,1.854714065
Jan-17,Education and Health Services,1.8170347
Feb-17,Education and Health Services,1.97133758
Mar-17,Education and Health Services,1.689759036
Apr-17,Education and Health Services,1.663663664
May-17,Education and Health Services,1.626292467
Jun-17,Education and Health Services,1.806800618
Jul-17,Education and Health Services,1.692532943
Aug-17,Education and Health Services,1.686416185
Sep-17,Education and Health Services,1.731117825
Oct-17,Education and Health Services,1.687964339
Nov-17,Education and Health Services,1.599427754
Dec-17,Education and Health Services,1.707782673
Jan-18,Education and Health Services,1.70544919
Feb-18,Education and Health Services,1.776119403
Mar-18,Education and Health Services,1.764028777
Apr-18,Education and Health Services,1.830584708
May-18,Education and Health Services,1.658402204
Jun-18,Education and Health Services,1.748261474
Jul-18,Education and Health Services,1.767908309
Aug-18,Education and Health Services,1.723140496
Sep-18,Education and Health Services,1.833810888
Oct-18,Education and Health Services,1.680706522
Nov-18,Education and Health Services,1.697831978
Dec-18,Education and Health Services,1.704749679
Jan-19,Education and Health Services,1.799468792
Feb-19,Education and Health Services,1.658536585
Mar-19,Education and Health Services,1.847708895
Apr-19,Education and Health Services,1.86431479
May-19,Education and Health Services,2.039039039
Jun-19,Education and Health Services,1.937406855
Jul-19,Education and Health Services,1.739597315
Aug-19,Education and Health Services,1.916305916
Sep-19,Education and Health Services,1.666214383
Oct-19,Education and Health Services,1.785419532
Nov-19,Education and Health Services,1.801097394
Dec-19,Education and Health Services,1.702592087
Jan-20,Education and Health Services,1.67
Feb-20,Education and Health Services,1.616368286
Mar-20,Education and Health Services,1.801515152
Apr-20,Education and Health Services,1.790566038
May-20,Education and Health Services,0.834605598
